lat, lon, kPa, depth_mm, timestamp
10.839984, 106.846642, 11.47, 290, 1775392010
10.839985, 106.846643, 11.47, 280, 1775392012
10.839985, 106.846644, 11.37, 270, 1775392012
10.839986, 106.846646, 11.27, 260, 1775392014
10.839987, 106.846651, 11.37, 260, 1775392017
10.839987, 106.846656, 11.27, 260, 1775392019
10.839988, 106.846659, 11.57, 280, 1775392019
10.839990, 106.846661, 11.57, 270, 1775392021
10.840133, 106.846721, 7.94, 420, 1775392064
10.840135, 106.846720, 8.24, 420, 1775392066
10.840140, 106.846719, 8.04, 390, 1775392069
10.840142, 106.846719, 8.04, 420, 1775392071
10.840144, 106.846719, 7.94, 460, 1775392071
10.840146, 106.846717, 8.14, 500, 1775392073
10.840382, 106.846727, 13.53, 600, 1775392136
10.840383, 106.846726, 13.33, 600, 1775392138
10.840384, 106.846726, 13.43, 600, 1775392138
10.840389, 106.846727, 13.43, 580, 1775392141
10.840392, 106.846727, 13.82, 590, 1775392142
10.840393, 106.846727, 13.73, 560, 1775392142
10.840399, 106.846729, 13.43, 540, 1775392145
10.840406, 106.846733, 13.43, 530, 1775392149
10.840598, 106.846754, 14.41, 520, 1775392202
10.840600, 106.846753, 14.51, 520, 1775392203
10.840602, 106.846753, 14.71, 510, 1775392206
10.840604, 106.846753, 15.00, 430, 1775392206
10.840609, 106.846753, 15.20, 370, 1775392209
10.840613, 106.846755, 15.00, 320, 1775392211
10.840618, 106.846757, 15.10, 250, 1775392214
10.840728, 106.846822, 10.39, 0, 1775392253
10.840738, 106.846827, 12.45, 530, 1775392259
10.840739, 106.846827, 12.84, 490, 1775392259
10.840740, 106.846827, 12.75, 470, 1775392261
10.840743, 106.846827, 12.84, 420, 1775392264
10.840746, 106.846828, 12.84, 410, 1775392264
10.840754, 106.846827, 12.84, 370, 1775392267
10.840757, 106.846827, 12.84, 370, 1775392268
10.840762, 106.846826, 12.75, 380, 1775392271
10.840980, 106.846859, 11.96, 590, 1775392356
10.840982, 106.846860, 11.76, 550, 1775392357
10.840991, 106.846864, 11.96, 600, 1775392361
10.840993, 106.846864, 12.06, 0, 1775392363
10.840996, 106.846863, 12.06, 540, 1775392365
10.841003, 106.846863, 11.96, 550, 1775392368
10.841007, 106.846863, 12.45, 530, 1775392370
10.841332, 106.846870, 16.27, 0, 1775392467
10.841336, 106.846873, 16.18, 0, 1775392469
10.841343, 106.846876, 16.37, 0, 1775392472
10.841347, 106.846879, 16.27, 0, 1775392475
10.841362, 106.846891, 16.27, 0, 1775392478
10.841372, 106.846897, 16.27, 0, 1775392485
10.841387, 106.846899, 16.18, 550, 1775392490
10.841396, 106.846900, 16.37, 0, 1775392493
10.841407, 106.846910, 16.76, 0, 1775392507
10.841405, 106.846908, 16.67, 0, 1775392510
10.841401, 106.846905, 16.27, 0, 1775392513
10.841405, 106.846904, 16.47, 0, 1775392515
10.841411, 106.846904, 16.27, 0, 1775392516
10.841415, 106.846904, 16.27, 0, 1775392520
10.841417, 106.846904, 16.57, 0, 1775392523
10.841500, 106.846855, 19.61, 530, 1775392600
10.841501, 106.846853, 19.61, 0, 1775392601
10.841508, 106.846845, 19.90, 0, 1775392605
10.841513, 106.846840, 20.00, 0, 1775392607
10.841515, 106.846839, 20.20, 530, 1775392609
10.841516, 106.846838, 20.10, 0, 1775392609
10.841522, 106.846837, 20.49, 510, 1775392613
10.841524, 106.846841, 19.90, 480, 1775392616
10.841523, 106.846844, 19.71, 500, 1775392617
10.841525, 106.846846, 19.90, 510, 1775392621
10.841529, 106.846839, 20.00, 0, 1775392624
10.841530, 106.846837, 20.00, 500, 1775392627
10.841532, 106.846836, 19.90, 500, 1775392631
10.841532, 106.846835, 19.51, 0, 1775392631
10.841539, 106.846826, 19.51, 510, 1775392636
10.841518, 106.846374, 32.45, 380, 1775393776
10.841518, 106.846373, 31.08, 0, 1775393778
10.841519, 106.846373, 31.67, 350, 1775393780
10.841519, 106.846374, 32.25, 330, 1775393782
10.841520, 106.846375, 31.37, 290, 1775393784
10.841522, 106.846374, 31.27, 340, 1775393787
10.841522, 106.846374, 32.94, 300, 1775393789
10.841525, 106.846376, 33.43, 300, 1775393792
10.841525, 106.846376, 30.88, 290, 1775393795
10.841526, 106.846376, 31.08, 300, 1775393797
10.841527, 106.846377, 35.20, 300, 1775393800
10.841527, 106.846377, 33.24, 0, 1775393800
10.841533, 106.846380, 36.18, 300, 1775393806
